stateabb,state,m_electors_st,f_electors_st,t_electors_st,m_voters_st,f_voters_st,t_voters_st,sex_ratio1,female_voter_turnout1,ln_female_electors,sex_ratio,female_voter_turnout,x,y,name
AD,Andaman & Nicobar Islands,142783,126577,269360,101129,89084,190213,0.886,70.38,11.748606,886,70.38,886,70.38,Andaman & Nicobar Islands
AP,Andhra Pradesh,32676266,32252318,64934136,24264388,23899016,48163704,0.987,74.1,17.289101,987,74.1,987,74.1,Andhra Pradesh
AR,Arunachal Pradesh,379566,379778,759344,282511,299237,581748,1.001,78.79,12.847342,1001,78.79,1001,78.79,Arunachal Pradesh
AS,Assam,9763621,9073991,18837712,7874627,7208917,15083544,0.929,79.45,16.020924,929,79.45,929,79.45,Assam
BH,Bihar,34121296,29676576,63800160,18748720,17124396,35873132,0.87,57.7,17.205868,870,57.7,870,57.7,Bihar
CH,Chandigarh,333621,281593,615214,244907,208415,453322,0.844,74.01,12.548218,844,74.01,844,74.01,Chandigarh
CT,Chhattisgarh,8946747,8716788,17664520,6321794,5932545,12254339,0.974,68.06,15.980762,974,68.06,974,68.06,Chhattisgarh
DD,Daman & Diu,57011,54816,111827,42355,44873,87228,0.961,81.86,10.911737,961,81.86,961,81.86,Daman & Diu
DL,NCT OF Delhi,7051073,5659252,12711164,4648996,3608486,8257636,0.803,63.76,15.548802,803,63.76,803,63.76,NCT OF Delhi
DN,Dadra & Nagar Haveli,106203,90394,196597,87792,77494,165286,0.851,85.73,11.411933,851,85.73,851,85.73,Dadra & Nagar Haveli
GA,Goa,528308,532469,1060777,394617,420030,814647,1.008,78.88,13.18528,1008,78.88,1008,78.88,Goa
GJ,Gujarat,21229088,19373730,40603104,14189922,11513175,25703172,0.913,59.43,16.779428,913,59.43,913,59.43,Gujarat
HP,Himachal Pradesh,2474430,2335639,4810071,1564350,1528573,3092923,0.944,65.45,14.663796,944,65.45,944,65.45,Himachal Pradesh
HR,Haryana,8716547,7380686,16097233,6350299,5142918,11493217,0.847,69.68,15.814377,847,69.68,847,69.68,Haryana
JH,Jharkhand,10710644,9639126,20349796,6859701,6122832,12982533,0.9,63.52,16.081341,900,63.52,900,63.52,Jharkhand
JK,Jammu & Kashmir,3791735,3391301,7183129,1925713,1638704,3564418,0.894,48.32,15.036724,894,48.32,894,48.32,Jammu & Kashmir
KA,Karnataka,23584842,22621080,46209812,16148545,14876307,31025020,0.959,65.76,16.934393,959,65.76,959,65.76,Karnataka
KL,Kerala,11734275,12592375,24326650,8668316,9283321,17951636,1.073,73.72,16.348602,1073,73.72,1073,73.72,Kerala
LK,Lakshadweep,25433,24489,49922,21584,21655,43239,0.963,88.43,10.105979,963,88.43,963,88.43,Lakshadweep
MH,Maharashtra,42770992,38026912,80798824,26622180,22046720,48669152,0.889,57.98,17.453804,889,57.98,889,57.98,Maharashtra
ML,Meghalaya,777639,789602,1567241,525328,552658,1077986,1.015,69.99,13.579285,1015,69.99,1015,69.99,Meghalaya
MN,Manipur,871417,902952,1774369,686536,727951,1414487,1.036,80.62,13.713425,1036,80.62,1036,80.62,Manipur
MP,Madhya Pradesh,25312600,22807628,48121300,16723283,12898006,29621412,0.901,56.55,16.942606,901,56.55,901,56.55,Madhya Pradesh
MZ,Mizoram,346219,355951,702170,212673,213477,426150,1.028,59.97,12.782548,1028,59.97,1028,59.97,Mizoram
NL,Nagaland,600518,582454,1182972,528703,510521,1039224,0.97,87.65,13.275005,970,87.65,970,87.65,Nagaland
OD,Odisha,15194304,14000556,29196044,11073291,10430276,21503644,0.921,74.5,16.454607,921,74.5,921,74.5,Odisha
PB,Punjab,10327188,9280738,19608160,7259668,6584638,13844306,0.899,70.95,16.043451,899,70.95,899,70.95,Punjab
PY,Puducherry,432048,469289,901357,351544,388189,739750,1.086,82.72,13.058974,1086,82.72,1086,82.72,Puducherry
RJ,Rajasthan,22648052,20346580,42994656,14593373,12440783,27034156,0.898,61.14,16.828423,898,61.14,898,61.14,Rajasthan
SK,Sikkim,191017,179753,370770,153370,146197,299567,0.941,81.33,12.099339,941,81.33,941,81.33,Sikkim
TN,Tamil Nadu,27571992,27539534,55114868,20223800,20331224,40555456,0.999,73.83,17.131134,999,73.83,999,73.83,Tamil Nadu
TR,Tripura,1217578,1171244,2388822,1029407,982333,2011740,0.962,83.87,13.973577,962,83.87,962,83.87,Tripura
UK,Uttarakhand,3749011,3377989,7127057,2264005,2113064,4377071,0.901,62.55,15.032791,901,62.55,901,62.55,Uttarakhand
UP,Uttar Pradesh,75961832,62841616,138810560,44969984,36081816,81052080,0.827,57.42,17.956127,827,57.42,827,57.42,Uttar Pradesh
WB,West Bengal,32689480,30143134,62833112,26868996,24704436,51573496,0.922,81.96,17.221468,922,81.96,922,81.96,West Bengal
