Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
-1.1,-4.8499999,-.63999999,.41,-3.3499999,.2,3.8399999,-1.23,2.0599999,-.57999998,-.67000002,-.41
0,-.27000001,-.56,-.63,-1.04,-.14,-1.21,.60000002,-.33000001,-.55000001,-.43000001,-2.5899999
-1.4299999,-.85000002,-.38,-1.02,.059999999,-1.92,-1.83,-2.0999999,.11,.41,.34,-.079999998
-.19,-1.58,.47999999,-.22,.17,-1.42,-.87,-1.4,.75999999,-.27000001,.25999999,-.92000002
-.1,3.51,-1.1900001,.090000004,-.029999999,.029999999,-.80000001,.61000001,-.090000004,-1.84,-2.45,-1.49
-1.53,-.17,-1.63,-2.5799999,-2.01,-1.1,.52999997,-.38,-1.04,-.57999998,-1.85,-.63
-.33000001,-1.59,-2.1199999,-1.62,3.1099999,-.99000001,-1.39,-1.45,-.34999999,-.98000002,-3.1099999,-1.2
1.01,-2.3399999,-2.02,-1.89,-1.0599999,-.0099999998,2.3499999,-.44,-1.49,.77999997,-1.52,-1.1900001
-1.1,-.63,1.1,-1.1799999,-.87,-3.4100001,.18000001,-.57999998,-.2,-.56999999,.039999999,-2.8499999
-.98000002,-1.71,.039999999,.090000004,-.1,-2.1099999,-1.51,1.74,-.55000001,-.5,.029999999,-1.4400001
-2.3900001,-1.14,-1.03,1.58,-.86000001,-.81,-.61000001,1.8099999,-2.47,-1.83,-2.3399999,-1.46
-1.29,-.56999999,-.36000001,1.6,-.62,-.83999997,-2.28,-.31,-2.1600001,-.64999998,-3.28,.46000001
-.87,.46000001,.93000001,-.079999998,-1.17,-.88999999,-1.1900001,-.80000001,-1.8099999,-1.11,-1.1799999,-2.52
-1.29,-.66000003,3.4300001,-2.96,.82999998,-.5,-1.66,-1.9299999,.44999999,-1.39,1.01,1.33
-3.01,.18000001,-.059999999,-2.3800001,-2.6400001,.38,-.1,-1.92,-.79000002,-1.33,-.41,1.13
-.19,1.0599999,-1.48,-.75999999,-.81999999,-1.47,-.58999997,-1.45,-2.5699999,-1.48,-1.15,.54000002
-.77999997,-2.8699999,.80000001,.99000001,-.28999999,-.0099999998,-1.3200001,-.67000002,-3.3499999,-2.75,1.5700001,-1.38
-3.73,-.31999999,-.50999999,.090000004,-.66000003,-.51999998,-1.55,-2.1400001,-1.45,3.03,-.75999999,-1.64
-.56999999,-1.35,-.18000001,3.8499999,-.63,.49000001,-4.6100001,.63999999,-1.77,-2.8299999,.38999999,-.88999999
-1.42,-.67000002,-3.27,-1.59,.18000001,-1.12,-4.3499999,-1.98,-.64999998,-.30000001,-.91000003,-.74000001
-1.12,-2.1099999,-1.24,-.66000003,-.14,-.61000001,-1.14,-1.6799999,-1.01,.23999999,-.77999997,-.5
-.41999999,-3.51,-.44,-3.8299999,-1.05,-.46000001,-1.05,-1.3099999,-1.14,.28,.89999998,-.28999999
2.95,-.31999999,-1.0599999,-.75,2.6900001,.34999999,-2.0699999,-4.8099999,-2.0899999,-1.92,.63999999,-3.8299999
-1.15,-.090000004,-.11,-.38999999,-.25999999,.11,-1.3,-3.0699999,-1.55,-1.3099999,-1.65,.19
-1.36,-1.9,-.93000001,1.3,-1.28,-1.97,-3.8099999,-2.23,-.61000001,.090000004,.67000002,-.62
.44,-.14,-.36000001,-.89999998,2.8,-.55000001,.37,.52999997,-1.08,-1,-1.1799999,.41
-.66000003,.41999999,-1.4400001,.059999999,-1.01,-3.0899999,-.33000001,1.45,-.31999999,-.12,-.2,-1.7
-.56999999,.07,.18000001,-3.8800001,.68000001,-2.3099999,-2.0599999,-3.25,.18000001,-2.6099999,.70999998,-.47999999
2.49,-.83999997,-.76999998,-.31,-1.3099999,-1.52,.88999999,.67000002,-2.4400001,-.94999999,.16,-2
.36000001,-.54000002,-.52999997,-.88999999,-.15000001,-.28,-1.3200001,-1.21,-1.1,-1.5599999,-.54000002,-1.39
-1.3200001,.050000001,1.12,.92000002,-1.09,-2.3,-.19,.52999997,1.29,-.23999999,.56,-1.97
-1.96,.1,-3.2,.62,-2.99,-1.52,-1.39,-.5,-.85000002,.19,1.41,-1.01
-1.33,.88,-2.24,-2.05,.52999997,-.029999999,.85000002,-1.6,.47,-1.3,-4.9099998,0
.18000001,1.0599999,.11,-.30000001,1.49,-1.8099999,-1.76,.1,-.19,-3.1900001,-1.48,1.13
-.22,-.52999997,-.16,-1.42,.56,-.54000002,-.40000001,-1.16,-2.26,-4.7800002,-.77999997,-1
-1.59,-.75,-1.37,-4.0999999,.41,-2.46,-.66000003,.12,-1.9400001,.41999999,-1.29,-.63
-1.13,-1.4400001,-.17,-1.6900001,.80000001,-.25,-.0099999998,.37,-2.9000001,-.33000001,-.98000002,-1.39
-1.4,.47,-3.8800001,2.1800001,-1.52,.050000001,-.31,.94999999,1.3099999,-.70999998,-.41999999,-1.49
.37,-1.37,-1.6900001,-2.26,.69999999,-1.75,-.18000001,-1.7,.36000001,-1.47,-.72000003,-1.72
1.6799999,-.56,-1.2,-1.5,-.77999997,-.49000001,-1.48,-1.83,-.88,-.11,-.95999998,1.02
2.6600001,1.72,.82999998,-1.76,-1.25,-.81999999,-1.24,-1.45,1.0700001,-1.21,1.3099999,-1.4400001
-1.27,-.19,-.41999999,-.88999999,1.1799999,-1.33,-1.36,.1,-.58999997,-1.36,-1.17,2.01
-1.37,-1.36,-.82999998,-.1,-2.52,-.73000002,-1.22,-.13,-.050000001,.44999999,2.3900001,-.88999999
-1.1799999,-.27000001,-.22,-2.3199999,2.46,-1.46,-4.75,-1.37,.27000001,-.63999999,-2.0899999,-2.05
-.22,2.47,-.50999999,-1.26,.34,-2.0899999,.43000001,-.93000001,-2.8199999,-.31999999,.63,-1.01
.07,-.98000002,-1.78,-2.1700001,3.03,1.2,-2.6099999,-1.65,.74000001,-1.9299999,-.44999999,-.28999999
-2.1199999,.27000001,.28,-.87,-1.39,.0099999998,-1.8099999,.25999999,1.23,-1.1799999,-1.66,-.73000002
-1.2,-.5,-1.0599999,-2.3399999,2.0999999,-3.4000001,.36000001,.61000001,-.25,1.4400001,1.39,-2.46
-.80000001,-.46000001,-1.08,-2.26,-2.1800001,-1.67,-.47999999,-1.3200001,-.81999999,-.95999998,-1.9400001,-1.08
.50999999,-.41999999,-.88999999,-.80000001,-1.74,.23,.56,-.34,.99000001,-3.1600001,-1.39,-2.45
.99000001,-.74000001,-1,2.75,.31,.22,-2.6300001,-.94,-1.9400001,-2.24,-2.1600001,-.40000001
-1.26,-1.87,.12,1.1799999,.28,-1.16,.25999999,.14,3.8599999,-2.0999999,-.56999999,-.69
-1.88,-.63999999,-4.8099999,-1.45,-1.24,1.1799999,-.16,.67000002,4.3000002,-1.29,-2.02,-.83999997
-1.47,.60000002,-1.5,-.97000003,.63,-1.26,-1.65,-2.55,-2.5899999,-1.6900001,1.64,-1.16
-3.0699999,-.63,-.85000002,-1.46,-2.5799999,.33000001,-2.6199999,-2.8699999,.14,-.69999999,-.12,-1.5599999
.23999999,.090000004,-1.34,-.61000001,1.15,.090000004,.090000004,.02,-2.3599999,-1.22,-1.01,-1.2
-.22,-1.97,-2.1800001,-2.01,-.63999999,-1.9400001,-.55000001,.63,-.02,-.66000003,-1.0700001,-.93000001
-.87,-.94999999,-.0099999998,-.50999999,-.41999999,-1.05,-.76999998,-.34,1.42,-2,-.20999999,.34
-1.13,-.38999999,.80000001,-1,.91000003,2.3800001,-.38,-.050000001,.61000001,-.090000004,-.80000001,2.5999999
.20999999,-1.36,-1.22,1.33,.11,1.97,1.39,-.54000002,.41999999,-1.98,.38,-1.17
.2,-.94,-1.42,-1.15,-1.3099999,-1.0599999,-.72000003,1.72,-3.8699999,-1.53,-.25,-2.3299999
-.81999999,.36000001,-.94999999,-1.92,-.44,-1.33,.76999998,-.97000003,-1.12,1.0599999,-1.5700001,-.38999999
-.75999999,-.63999999,.41,-1.5,-2.6600001,-1.73,-1.23,-.80000001,-1.51,-2.2,1.3200001,-.55000001
-2.5799999,-1.22,-1.63,-1.39,-.64999998,-.17,.85000002,.66000003,-1.0700001,-.14,-1.1799999,-.94999999
.039999999,.63,-.12,1.16,1.36,.16,-1.4400001,-.28,-2.6800001,1.2,-.02,.54000002
.02,.34999999,.059999999,-1.08,-1.8200001,-.43000001,-4.5700002,-2.47,-4.1100001,-1.1,-.97000003,-1.91
-.47,-.61000001,-.68000001,-.34,-1.23,-2.3699999,-2.4200001,1.16,2.51,-.79000002,-.75,1.97
-.44,1.99,.31,-.44999999,-3.0699999,-.70999998,-.51999998,.66000003,-1.76,-2.99,-1.54,-.28
-.73000002,-.12,-2.99,-2.05,-1.21,-.91000003,1.49,.25,-1.66,-1.7,-.87,.15000001
-3.3099999,.090000004,-2.02,-.11,-2.21,.57999998,1.38,-.74000001,-.85000002,-.46000001,-.66000003,-.94
-2.25,-2.29,1.13,-.89999998,-1.63,1.12,-.68000001,-.56999999,.88999999,-2.3499999,-1.1900001,-1.15
.87,-.98000002,-.75,-2.27,.68000001,-1.7,-4.0700002,-.31,-.56999999,-.73000002,-1.6799999,-.93000001
-2.55,-1.26,-.98000002,.059999999,-.57999998,-1.21,-1.51,-.63999999,-.28,-2.8699999,-1.08,-.13
.77999997,-.61000001,-1.8,-2.0799999,1.15,-2.1400001,-1.27,-4.27,-2.1800001,-.11,-.28,-.63999999
-.02,-.63,-1.04,.80000001,-1.05,-3.1800001,-2.0599999,-1.22,-3.4000001,-.34,-1.64,-1.13
-.20999999,.37,-.14,-.60000002,-2.23,-1.92,-.46000001,-1.29,-2.29,.20999999,-.82999998,-2.45
