disposal_case_sub_type,Andaman and Nicobar,Andhra Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,DNH at Silvasa,Delhi,Diu and Daman,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Orissa,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Arbitration Main and Misc,0,3.1451831,3.2409639,2,1.2621599,1.7272727,0,1.0474089,0,7.25,0,2.0991735,2.8095238,2.970803,2.3684211,2.4469388,1.7170608,3.3921571,1.8918368,5.5,3.4285715,0,3.3495145,1.5641172,4.9281526,1.25,3.6623933,2.927835,3.2941177,3.0086207,7.3333335,1.6378269
Bail Application,0,1.0012764,1.0004988,1.0114278,1,1.0001843,0,1.0015818,0,1,1.0100018,1.0003695,1.0009035,1.0170531,1.0044816,1.2721093,1.0182596,1.0009754,1.0031728,1.0716561,1,0,1.0017462,1.0070263,1.0039035,1,0,1.0013433,1,1.0018375,1,1.0295281
Civil Appeal,0,4.4674664,2.9990494,8.2435017,2.4848485,2.7309754,1.5,2.18381,0,6.3571429,7.2095561,2.7213013,2.1496496,2.3492253,4.7392526,3.4178178,3.3434465,3.0422888,5.0536213,2.8499999,3.8,0,4.7363739,2.1633673,4.4777269,1.5185184,3.7760012,4.3327484,2.7342343,4.4529462,2.6708286,3.7845304
Civil Revision,0,0,0,4.75,0,0,0,1,5,5,4.0483871,3.8000002,4.916667,1.6046512,0,2.2251308,2.6166668,0,4.1270471,2.7313433,5.5,0,2.6072702,1.5,2.9854369,1,2.4202898,0,2.75,2.4617672,1.6465068,3.640625
Civil Suit,0,3.2955978,3.0235367,6.2102156,2.9573171,5.2846017,4.1413794,2.5388525,0,6.534749,5.7321563,2.403759,3.1843579,2.9266243,6.198276,3.6772571,2.6959527,3.305552,4.3858747,3.0039063,5.8958335,0,4.6892223,2.7628067,4.8996148,1.1801566,3.5177801,4.0482478,2.8352304,5.2561798,3.3886018,5.7828035
Cooperative Appeal Cases Main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9873419,0,0,0,0,1,0,0
Cooperative Appeal Cases Misc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cooperative Court Cases Main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cooperative Court Cases Misc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.034483,0,0,0,0,0,0,0
Criminal Appeal,0,2.1896482,2.1625321,7.0126486,1.8380743,1.8721704,1.8000001,1.3370892,0,4.5,2.4740825,2.0393076,2.6366735,1.7142857,2.5174356,1.7353303,3.0215464,2.0418413,3.7470438,1.1666666,1.6,0,3.1028113,1.9535087,2.0729778,1.1363636,2.4415498,2.0789886,1.4913294,2.615592,1.9585965,2.0778182
