AP,AS,BH,GJ,HR,JH,KA,KL,MH,MP,PB,RJ,Small_states,TN,UP,WB
9.54,11,4.23,32.21,16.34,4.16,0.15,0.71,21.29,9.07,1.79,17.38,17.43,22.33,4.97,11.82
15.85,8.05,31.76,42.55,27.9,9.52,7.03,0.69,27.7,9.69,9.67,27.02,10.57,18.11,10.23,27.66
5.11,11.67,15.01,21.48,20.8,4.32,1.58,11.57,13.3,20.66,6.82,23.21,4.78,13.92,26.94,12.77
4.14,20.8,1.04,49.08,7.85,27.01,16.94,1.77,11.07,10.52,1.65,19.84,3.76,11.8,25.89,16.97
28.48,20.89,5.43,18.54,11.42,11.01,7.85,4.02,31.52,26.15,13.05,7.85,12.43,20.46,18.41,8.61
2.76,29.07,13.09,14.51,2.76,24.97,8.76,10.23,21.44,31.36,10.2,3.22,14.77,11.81,9.68,1.75
6.25,16.77,20.96,19.32,12.56,1,9.24,6.17,25.52,10.92,16.71,25.5,4.1,7.98,42.26,5.71
2.75,26.27,1.13,7.72,9.05,5.78,11.9,3.68,13.74,13.54,19.26,24.56,15.12,20.98,27.32,14.68
33.34,11.51,12.88,33.14,30.18,16.45,7.49,2.92,19.98,27.24,2.84,7.49,5.85,11.92,21.5,19.67
8.48,3.51,4.12,24.36,41.29,4.34,0.75,14.5,19.69,30.47,2.18,40.29,5.49,14.4,15.99,5.35
10.76,4.41,0.97,14.43,,25.61,17.57,22.82,2.35,28.3,5.25,14.87,50.93,20.67,14.53,18.43
5.55,1.86,11.08,20.8,,18.99,8.14,4.15,37.53,21.94,1.87,35.06,0.03,13.02,36.07,13.68
14.5,4.44,0.8,48.08,,12.52,15.91,1.95,15.74,38.26,1.41,22.3,20.52,22.25,31.11,10.07
8.78,8.77,5.22,26.89,,9.63,6.72,1.79,6.54,32.8,,22.44,38.52,19.34,4.71,19.09
7.78,,15.21,22.82,,,3.22,6.46,12.47,20.33,,12.98,19.93,15.8,28.72,0.15
16.24,,13.32,16.33,,,2.73,2.28,38.73,37.82,,7.17,6.27,27.8,41.79,10.06
1.5,,8.44,23.31,,,10.92,8.07,10.94,3,,26.06,13.54,27.02,12.34,6.54
1.29,,14.27,56.25,,,0.28,0.34,0.16,8.63,,41.59,11.41,18.66,18.81,8.66
1.03,,16.43,6.53,,,12.46,1.57,36.8,12.37,,26.72,3.55,11.26,5.45,11.42
2.52,,14.9,25.58,,,0.46,4.28,24.13,22.76,,36.42,9.71,13.1,14.42,14.02
7.1,,4.54,18.28,,,20.52,,20.96,24.91,,38.02,2.03,22.11,16.19,1.43
7.84,,7.48,33.21,,,7.22,,0.21,35.46,,32.84,14.58,11.25,32.1,11.67
25.38,,8.48,33.11,,,4.24,,9.08,22.38,,4.88,13.51,3.57,21.16,5.65
16.38,,11.46,10.27,,,14.06,,2.64,10.02,,23.23,25.85,12.65,2.45,5.65
0.31,,11.93,20.56,,,9.61,,23.06,23.39,,33.14,15.36,14.24,8.77,18.1
0.26,,30.13,14.46,,,12.8,,20.44,22.63,,,10.94,15.89,27.36,17.27
10.05,,10.72,,,,32.18,,9.57,0.95,,,13.88,20.63,10.33,11.77
13.21,,7.04,,,,10.8,,47.18,20.82,,,1.42,13.53,22.77,25.47
15.09,,23.36,,,,,,20.76,15.57,,,6.51,20.19,3.2,17.5
3.11,,16.16,,,,,,12.5,,,,8.67,17.07,18.36,17.78
3.68,,4.74,,,,,,16.31,,,,15.92,10.96,19.41,6.17
8.27,,15.85,,,,,,8.04,,,,8.22,23.26,14.44,9.84
12.14,,5.89,,,,,,17.98,,,,24.8,12.99,20.87,7.97
1.13,,2.39,,,,,,16.74,,,,11.78,7,6.95,15.02
3.09,,24.93,,,,,,26.68,,,,7.88,25.78,1.79,8.06
5.55,,23.44,,,,,,16.48,,,,7.88,29.24,28.05,9.12
4.17,,11.73,,,,,,13.4,,,,25.97,6.09,3.29,10.92
20.84,,6.15,,,,,,31.79,,,,27.06,5.63,21.74,14.91
33.42,,12.9,,,,,,22.1,,,,16.78,15.23,18.54,30.88
16.17,,5.41,,,,,,14.96,,,,46.93,,27.65,5.27
18.19,,,,,,,,26.25,,,,21.27,,14.8,13.64
1.74,,,,,,,,23.97,,,,,,20.85,0.73
,,,,,,,,30.42,,,,,,6.58,
,,,,,,,,21.29,,,,,,13.02,
,,,,,,,,22.86,,,,,,11.08,
,,,,,,,,16.49,,,,,,17.72,
,,,,,,,,19.39,,,,,,21.59,
,,,,,,,,16.74,,,,,,11.85,
,,,,,,,,,,,,,,13.9,
,,,,,,,,,,,,,,23.65,
,,,,,,,,,,,,,,13.48,
,,,,,,,,,,,,,,26.7,
,,,,,,,,,,,,,,21.7,
,,,,,,,,,,,,,,23.37,
,,,,,,,,,,,,,,27.18,
,,,,,,,,,,,,,,7.76,
,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,0.49,
,,,,,,,,,,,,,,30.07,
,,,,,,,,,,,,,,14.04,
,,,,,,,,,,,,,,29.23,
,,,,,,,,,,,,,,25.81,
,,,,,,,,,,,,,,36.49,
,,,,,,,,,,,,,,36.22,
,,,,,,,,,,,,,,30.71,
,,,,,,,,,,,,,,17.88,
,,,,,,,,,,,,,,7.02,
,,,,,,,,,,,,,,20.9,
,,,,,,,,,,,,,,8.36,
,,,,,,,,,,,,,,15.5,
,,,,,,,,,,,,,,26.38,
,,,,,,,,,,,,,,42.75,
,,,,,,,,,,,,,,8.75,
,,,,,,,,,,,,,,9.81,
,,,,,,,,,,,,,,17.25,
,,,,,,,,,,,,,,10.24,
,,,,,,,,,,,,,,8.29,
,,,,,,,,,,,,,,13.49,
,,,,,,,,,,,,,,16.11,
,,,,,,,,,,,,,,19.84,
